acquired,female,male
1929,0.0,9.0
1930,0.0,8.0
1931,0.0,3.0
1932,1.0,16.0
1933,0.0,95.0
1934,4.0,213.0
1935,5.0,403.0
1936,15.0,94.0
1937,10.0,257.0
1938,8.0,118.0
1939,5.0,403.0
1940,186.0,1227.0
1941,84.0,751.0
1942,79.0,715.0
1943,17.0,404.0
1944,21.0,288.0
1945,6.0,261.0
1946,6.0,145.0
1947,75.0,311.0
1948,15.0,345.0
1949,35.0,1496.0
1950,18.0,402.0
1951,74.0,533.0
1952,40.0,493.0
1953,16.0,423.0
1954,26.0,776.0
1955,11.0,402.0
1956,23.0,1025.0
1957,11.0,274.0
1958,55.0,568.0
1959,70.0,742.0
1960,28.0,401.0
1961,33.0,493.0
1962,24.0,496.0
1963,52.0,866.0
1964,194.0,12216.0
1965,236.0,1725.0
1966,29.0,1721.0
1967,211.0,2050.0
1968,74.0,6729.0
1969,169.0,1982.0
1970,194.0,1005.0
1971,45.0,740.0
1972,66.0,757.0
1973,117.0,934.0
1974,518.0,2805.0
1975,41.0,831.0
1976,51.0,820.0
1977,161.0,974.0
1978,122.0,1160.0
1979,118.0,908.0
1980,141.0,508.0
1981,74.0,1044.0
1982,61.0,712.0
1983,99.0,992.0
1984,101.0,717.0
1985,124.0,870.0
1986,72.0,907.0
1987,97.0,1023.0
1988,152.0,818.0
1989,106.0,589.0
1990,236.0,865.0
1991,118.0,683.0
1992,214.0,919.0
1993,442.0,757.0
1994,276.0,601.0
1995,499.0,444.0
1996,295.0,549.0
1997,246.0,630.0
1998,137.0,891.0
1999,145.0,1423.0
2000,206.0,1572.0
2001,432.0,1998.0
2002,154.0,545.0
2003,84.0,435.0
2004,239.0,434.0
2005,904.0,2927.0
2006,297.0,1085.0
2007,269.0,1559.0
2008,1479.0,3125.0
2009,404.0,1047.0
2010,314.0,958.0
2011,476.0,1339.0
2012,1069.0,1955.0
2013,383.0,1694.0
2014,269.0,1770.0
2015,426.0,2743.0
2016,505.0,878.0
